Generation,Mutation Rate,Best Fitness,Average Fitness,Plateau Length
0,1.0,500.0,20.99,1
1,1.0,500.0,14.106,1
2,0.5,500.0,9.242,2
3,0.3333333333333333,500.0,-110.674,3
4,0.25,512.0,26.79,4
5,1.0,512.0,32.514,1
6,0.5,512.0,8.936,2
7,0.3333333333333333,516.0,12.036,3
8,1.0,516.0,18.282,1
9,0.5,516.0,12.392,2
10,0.3333333333333333,516.0,-2.904,3
11,0.25,516.0,18.74,4
12,0.2,516.0,-303.766,5
13,0.16666666666666666,550.0,27.698,6
14,1.0,550.0,36.572,1
15,0.5,550.0,1.202,2
16,0.3333333333333333,550.0,0.856,3
17,0.25,550.0,-7.718,4
18,0.2,550.0,27.658,5
19,0.16666666666666666,550.0,42.186,6
20,0.14285714285714285,550.0,32.242,7
21,0.125,550.0,50.622,8
22,0.1111111111111111,550.0,59.662,9
23,0.1,550.0,86.566,10
24,0.09090909090909091,550.0,106.64,11
25,0.08333333333333333,550.0,114.162,12
26,0.07692307692307693,550.0,148.076,13
27,0.07142857142857142,550.0,163.86,14
28,0.06666666666666667,550.0,230.3,15
29,0.0625,550.0,205.674,16
30,0.058823529411764705,550.0,308.508,17
31,0.05555555555555555,550.0,191.844,18
32,0.05263157894736842,550.0,380.608,19
33,0.05,550.0,392.658,20
34,0.047619047619047616,550.0,392.356,21
35,0.045454545454545456,550.0,397.878,22
36,0.043478260869565216,550.0,404.982,23
37,0.041666666666666664,550.0,416.682,24
38,0.04,550.0,428.182,25
39,0.038461538461538464,550.0,424.626,26
40,0.037037037037037035,550.0,446.184,27
41,0.03571428571428571,550.0,404.188,28
42,0.034482758620689655,550.0,424.466,29
43,0.03333333333333333,550.0,450.002,30
44,0.03225806451612903,550.0,464.74,31
45,0.03125,550.0,456.122,32
46,0.030303030303030304,550.0,474.174,33
47,0.029411764705882353,550.0,476.466,34
48,0.02857142857142857,550.0,477.764,35
49,0.027777777777777776,550.0,490.368,36
50,0.02702702702702703,550.0,346.25,37
51,0.02631578947368421,550.0,451.466,38
52,0.02564102564102564,550.0,435.412,39
53,0.025,550.0,474.302,40
54,0.024390243902439025,550.0,485.296,41
55,0.023809523809523808,550.0,463.938,42
56,0.023255813953488372,550.0,499.464,43
57,0.022727272727272728,550.0,472.518,44
58,0.022222222222222223,550.0,475.078,45
59,0.021739130434782608,550.0,489.514,46
60,0.02127659574468085,550.0,485.908,47
61,0.020833333333333332,550.0,482.228,48
62,0.02040816326530612,550.0,496.068,49
63,0.02,550.0,509.822,50
64,0.0196078431372549,550.0,503.79,51
65,0.019230769230769232,550.0,496.558,52
66,0.018867924528301886,550.0,501.854,53
67,0.018518518518518517,550.0,485.846,54
68,0.01818181818181818,550.0,511.54,55
69,0.017857142857142856,550.0,504.882,56
70,0.017543859649122806,550.0,510.842,57
71,0.017241379310344827,550.0,508.362,58
72,0.01694915254237288,550.0,498.712,59
73,0.016666666666666666,550.0,513.206,60
74,0.01639344262295082,550.0,509.35,61
75,0.016129032258064516,550.0,511.156,62
76,0.015873015873015872,550.0,496.98,63
77,0.015625,550.0,512.704,64
78,0.015384615384615385,550.0,475.202,65
79,0.015151515151515152,550.0,507.376,66
80,0.014925373134328358,550.0,510.738,67
81,0.014705882352941176,550.0,513.568,68
82,0.014492753623188406,550.0,509.772,69
83,0.014285714285714285,550.0,410.582,70
84,0.014084507042253521,550.0,514.096,71
85,0.013888888888888888,550.0,523.644,72
86,0.0136986301369863,550.0,518.896,73
87,0.013513513513513514,550.0,351.738,74
88,0.013333333333333334,550.0,509.404,75
89,0.013157894736842105,550.0,512.558,76
90,0.012987012987012988,550.0,510.372,77
91,0.01282051282051282,550.0,509.464,78
92,0.012658227848101266,550.0,517.606,79
93,0.0125,550.0,504.748,80
94,0.012345679012345678,550.0,518.916,81
95,0.012195121951219513,550.0,518.772,82
96,0.012048192771084338,550.0,521.454,83
97,0.011904761904761904,550.0,520.662,84
98,0.011764705882352941,550.0,522.69,85
99,0.011627906976744186,550.0,493.776,86
100,0.011494252873563218,550.0,521.21,87
101,0.011363636363636364,550.0,522.68,88
102,0.011235955056179775,550.0,526.246,89
103,0.011111111111111112,550.0,519.642,90
104,0.01098901098901099,550.0,532.494,91
105,0.010869565217391304,550.0,508.418,92
106,0.010752688172043012,550.0,528.858,93
107,0.010638297872340425,550.0,522.824,94
108,0.010526315789473684,550.0,527.362,95
109,0.010416666666666666,550.0,530.38,96
110,0.010309278350515464,550.0,529.17,97
111,0.01020408163265306,550.0,518.35,98
112,0.010101010101010102,550.0,522.062,99
